Sample Name,Source Well,Source Plate Barcode,Starting Concentration,Concentration Range
CBP-0016709-05,O14,B004,0,A
CBP-0016714-04,H7,B004,0,A
CBP-0016753-04,J12,B004,0,A
CBP-0016836-05,N13,B004,0,A
CBP-0016836-04,J9,B004,0,A
CBP-0016855-05,B16,B004,0,A
CBP-0016894-05,B9,B004,0,A
CBP-0016946-05,J6,B004,0,A
CBP-0017021-04,L15,B004,0,A
CBP-0017285-03,D15,B004,0,A
CBP-0017334-05,O11,B004,0,A
CBP-0017339-04,M20,B004,0,A
CBP-0017367-04,K19,B004,0,A
CBP-0017383-07,F3,B004,0,A
CBP-0017443-07,J4,B004,0,A
CBP-0017466-06,D21,B004,0,A
CBP-0017561-05,C9,B004,0,A
CBP-0017576-07,K20,B004,0,A
CBP-0017586-04,K9,B004,0,A
CBP-0017631-05,L8,B004,0,A
CBP-0017633-07,O16,B004,0,A
CBP-0017654-04,M17,B004,0,A
CBP-0017665-04,L13,B004,0,A
CBP-0017695-05,B13,B004,0,A
CBP-0017869-08,L16,B004,0,A
CBP-0017887-06,O6,B004,0,A
CBP-0063681-04,M19,B004,0,A
CBP-0063696-02,B14,B004,0,A
CBP-0063719-04,F2,B004,0,A
CBP-0063770-03,P10,B004,0,A
CBP-0063812-06,N6,B004,0,A
CBP-0063852-04,C4,B004,0,A
CBP-0063882-05,K4,B004,0,A
CBP-0063891-03,P11,B004,0,A
CBP-0063897-03,B17,B004,0,A
CBP-0063900-03,I15,B004,0,A
CBP-0063902-02,P9,B004,0,A
CBP-0063954-03,M10,B004,0,A
CBP-0064021-03,D10,B004,0,A
CBP-0064024-07,C5,B004,0,A
CBP-0064024-08,A22,B004,0,A
CBP-0064031-03,M9,B004,0,A
CBP-0064045-03,J15,B004,0,A
CBP-0064068-04,N9,B004,0,A
CBP-0064073-03,D11,B004,0,A
CBP-0064105-03,O8,B004,0,A
CBP-0064121-03,B7,B004,0,A
CBP-0064136-04,O1,B004,0,A
CBP-0064355-02,L11,B004,0,A
CBP-0064374-05,P16,B004,0,A
CBP-0064388-02,J16,B004,0,A
CBP-0064393-03,D17,B004,0,A
CBP-0064416-04,M18,B004,0,A
CBP-0064468-03,I1,B004,0,A
CBP-0064469-03,K8,B004,0,A
CBP-0064470-05,C18,B004,0,A
CBP-0064472-03,D20,B004,0,A
CBP-0064473-04,K22,B004,0,A
CBP-0064475-03,A1,B004,0,A
CBP-0064476-04,H20,B004,0,A
CBP-0064478-03,C13,B004,0,A
CBP-0064479-03,I5,B004,0,A
CBP-0064480-03,N16,B004,0,A
CBP-0064481-03,B20,B004,0,A
CBP-0064482-03,N7,B004,0,A
CBP-0064483-03,M22,B004,0,A
CBP-0064484-03,L18,B004,0,A
CBP-0064485-03,A7,B004,0,A
CBP-0064486-03,N17,B004,0,A
CBP-0064487-03,I21,B004,0,A
CBP-0064488-03,D19,B004,0,A
CBP-0064489-03,M12,B004,0,A
CBP-0064490-03,B3,B004,0,A
CBP-0064491-03,A3,B004,0,A
CBP-0064492-04,P17,B004,0,A
CBP-0064493-03,L2,B004,0,A
CBP-0064494-03,A4,B004,0,A
CBP-0064495-03,E14,B004,0,A
CBP-0064496-03,E17,B004,0,A
CBP-0064498-03,I9,B004,0,A
CBP-0064499-03,O13,B004,0,A
CBP-0064500-03,F22,B004,0,A
CBP-0064501-03,I4,B004,0,A
CBP-0064502-03,N4,B004,0,A
CBP-0064503-03,A20,B004,0,A
CBP-0064504-03,A5,B004,0,A
CBP-0064505-04,M8,B004,0,A
CBP-0064506-03,M6,B004,0,A
CBP-0064509-03,J8,B004,0,A
CBP-0064510-03,G12,B004,0,A
CBP-0064511-04,H14,B004,0,A
CBP-0064512-03,A6,B004,0,A
CBP-0064513-04,C1,B004,0,A
CBP-0064514-03,P6,B004,0,A
CBP-0064515-03,I18,B004,0,A
CBP-0064516-03,L19,B004,0,A
CBP-0064517-03,P21,B004,0,A
CBP-0064518-03,N18,B004,0,A
CBP-0064519-03,J17,B004,0,A
CBP-0064520-04,H18,B004,0,A
CBP-0064521-03,K21,B004,0,A
CBP-0064523-04,B10,B004,0,A
CBP-0064524-03,C21,B004,0,A
CBP-0064525-03,H17,B004,0,A
CBP-0064526-03,G22,B004,0,A
CBP-0064527-03,J2,B004,0,A
CBP-0064528-03,G7,B004,0,A
CBP-0064529-03,K17,B004,0,A
CBP-0064530-03,C10,B004,0,A
CBP-0064533-04,G9,B004,0,A
CBP-0064535-03,J21,B004,0,A
CBP-0064536-03,L20,B004,0,A
CBP-0064537-03,N3,B004,0,A
CBP-0064539-04,H16,B004,0,A
CBP-0064540-03,C3,B004,0,A
CBP-0064541-03,O17,B004,0,A
CBP-0064542-03,E8,B004,0,A
CBP-0064543-03,O3,B004,0,A
CBP-0064545-03,C2,B004,0,A
CBP-0064547-03,C8,B004,0,A
CBP-0064548-03,G3,B004,0,A
CBP-0064550-03,G4,B004,0,A
CBP-0064553-03,M15,B004,0,A
CBP-0064554-03,J1,B004,0,A
CBP-0064555-03,E16,B004,0,A
CBP-0064556-03,H21,B004,0,A
CBP-0064557-04,O20,B004,0,A
CBP-0064560-03,I22,B004,0,A
CBP-0064561-05,C19,B004,0,A
CBP-0064562-03,G20,B004,0,A
CBP-0064563-03,D5,B004,0,A
CBP-0064565-03,H13,B004,0,A
CBP-0064566-03,N5,B004,0,A
CBP-0064567-04,L21,B004,0,A
CBP-0064568-03,K10,B004,0,A
CBP-0064569-03,F6,B004,0,A
CBP-0064570-03,N11,B004,0,A
CBP-0064571-03,D3,B004,0,A
CBP-0064572-03,F19,B004,0,A
CBP-0064573-03,A16,B004,0,A
CBP-0064575-03,A2,B004,0,A
CBP-0064576-03,N8,B004,0,A
CBP-0064577-03,D8,B004,0,A
CBP-0064578-04,L4,B004,0,A
CBP-0064579-03,G13,B004,0,A
CBP-0064580-03,B18,B004,0,A
CBP-0064581-03,F16,B004,0,A
CBP-0064582-03,M21,B004,0,A
CBP-0064583-03,C6,B004,0,A
CBP-0064584-03,F9,B004,0,A
CBP-0064587-03,D14,B004,0,A
CBP-0064588-03,J18,B004,0,A
CBP-0064590-03,C22,B004,0,A
CBP-0064591-03,N12,B004,0,A
CBP-0064592-03,F17,B004,0,A
CBP-0064593-03,P5,B004,0,A
CBP-0064595-03,G19,B004,0,A
CBP-0064596-03,E13,B004,0,A
CBP-0064597-03,J5,B004,0,A
CBP-0064599-03,G18,B004,0,A
CBP-0064600-03,H12,B004,0,A
CBP-0064601-03,P3,B004,0,A
CBP-0064602-03,E1,B004,0,A
CBP-0064603-03,C16,B004,0,A
CBP-0064604-03,E18,B004,0,A
CBP-0064605-03,N15,B004,0,A
CBP-0064606-03,M1,B004,0,A
CBP-0064607-03,I20,B004,0,A
CBP-0064609-03,G6,B004,0,A
CBP-0064610-03,O21,B004,0,A
CBP-0064611-03,G5,B004,0,A
CBP-0064612-03,O5,B004,0,A
CBP-0064613-03,B11,B004,0,A
CBP-0064615-03,D18,B004,0,A
CBP-0064618-03,L3,B004,0,A
CBP-0064620-03,H1,B004,0,A
CBP-0064621-03,E2,B004,0,A
CBP-0064622-03,B6,B004,0,A
CBP-0064623-03,F10,B004,0,A
CBP-0064624-03,A15,B004,0,A
CBP-0064625-04,M2,B004,0,A
CBP-0064626-03,G10,B004,0,A
CBP-0064627-03,F13,B004,0,A
CBP-0064628-03,L5,B004,0,A
CBP-0064629-03,O19,B004,0,A
CBP-0064630-03,D22,B004,0,A
CBP-0064631-03,B21,B004,0,A
CBP-0064633-03,K13,B004,0,A
CBP-0064634-03,H15,B004,0,A
CBP-0064635-03,E9,B004,0,A
CBP-0064636-03,C14,B004,0,A
